Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
149181,1586056715,G,6.38085,3.28412,4.96303,2.29934,5.95123,0.377345,0.986228,1,G,8.33725,4.23447,-4.28113,5.7654,6.02153,0.850974,-0.790877,1,9.72565
149181,1586075043,G,16.7257,0.118317,-3.36236,16.3835,3.36444,2.28654,-1.53562,-1,G,5.43811,4.44755,1.62573,2.67175,4.73536,0.537896,0.350447,1,10.2113
149181,1586106459,G,120.464,41.1279,-16.6356,-111.997,44.3649,-1.65627,-0.384365,-1,T,5.02491,1.40672,-1.30656,4.64247,1.91989,1.61638,-0.748501,1,45.7314
149181,1586134171,G,15.2232,-9.19969,4.04717,11.4333,10.0506,0.975388,2.72715,1,T,3.32431,-1.05398,-0.578881,3.0974,1.20248,1.67503,-2.63934,-1,3.96252
149181,1586149035,G,22.7825,10.4319,-3.26362,-19.9889,10.9305,-1.36431,-0.303203,-1,G,16.6477,-7.46854,-7.23124,13.0025,10.3957,1.04807,-2.37234,1,37.2426
149181,1585438244,G,10.5235,3.40431,0.0600028,9.95691,3.40484,1.79425,0.0176237,-1,G,18.3739,2.42079,-1.95712,18.108,3.11296,2.46123,-0.679882,1,3.14513
149181,1585463900,G,28.4846,22.5481,-4.84335,-16.7178,23.0624,-0.672942,-0.211586,1,G,5.62757,2.99072,4.1281,2.38174,5.09761,0.451708,0.94383,-1,17.4749
149181,1585516276,G,10.5078,-4.70024,3.01282,8.90134,5.58294,1.246,2.57158,-1,G,6.68876,4.88373,-2.55672,3.78691,5.5125,0.641958,-0.482284,-1,11.5969
149181,1585542884,G,11.5573,-3.30755,-3.66712,10.4486,4.93839,1.49425,-2.30469,-1,G,8.01724,-4.41291,-3.20035,5.87783,5.45124,0.93564,-2.51414,1,3.13749
149181,1585554924,G,6.74926,3.10139,-2.93624,5.22506,4.27084,1.03088,-0.758052,-1,G,8.41268,-2.24629,7.14062,3.83768,7.4856,0.49252,1.87557,1,11.3729
149181,1585550156,G,6.38934,0.343529,-4.02449,-4.94955,4.03912,-1.03213,-1.48564,-1,G,9.71408,8.02401,2.06358,-5.07041,8.28511,-0.57908,0.25172,1,9.22278
149181,1585568780,G,45.3416,-2.38965,-17.1625,-41.8997,17.328,-1.61635,-1.70914,-1,T,3.60288,-0.620059,-0.590732,-3.49802,0.85641,-2.11501,-2.38041,-1,3.22031
149181,1585566892,G,7.78057,-1.81847,0.190821,7.56194,1.82845,2.12711,3.03704,-1,G,19.2763,-8.27952,-13.5944,10.8722,15.9173,0.638721,-2.11783,1,10.5181
149181,1585624332,G,11.7255,-0.565075,-3.74158,-11.0976,3.78401,-1.79697,-1.72069,-1,G,9.76277,-3.06711,-2.3633,-8.96148,3.872,-1.57602,-2.48508,1,2.98585
149181,1585616924,G,44.5008,-5.10196,16.6872,-40.9367,17.4498,-1.58846,1.86751,-1,T,22.6897,-1.71586,7.37186,-21.3898,7.56892,-1.76194,1.79948,-1,2.15539
149181,1585631020,G,42.8494,-7.26386,16.1465,-39.0204,17.7052,-1.53127,1.99354,-1,T,3.99602,-0.418523,0.753239,3.90058,0.861702,2.2151,2.07795,1,24.829
149181,1585653372,G,34.3687,7.45991,-2.20245,-33.4767,7.77824,-2.1659,-0.287083,1,G,31.5902,-13.5565,-1.03689,-28.5145,13.5961,-1.4863,-3.06525,-1,21.4475
149181,1585663100,G,6.49006,3.88667,-2.12727,-4.74112,4.43075,-0.930048,-0.500787,1,G,17.3519,1.81526,2.91953,17.0076,3.43785,2.30203,1.01453,-1,19.6172
149181,1585710052,G,14.2463,5.53227,9.28544,9.28008,10.8086,0.777765,1.03347,1,T,8.33856,1.53553,5.35415,6.20449,5.56999,0.959673,1.2915,1,2.45596
149181,1585718692,G,12.7562,2.43227,3.10417,-12.1309,3.94358,-1.84224,0.906167,1,G,4.92916,-4.62489,0.356523,-1.66397,4.63861,-0.351442,3.06466,-1,10.2806
149181,1585720828,G,6.47111,-0.762408,-5.39505,3.48945,5.44865,0.603178,-1.71118,-1,G,5.15794,1.69198,4.1324,-2.57947,4.46537,-0.549575,1.18218,1,11.4869
149181,1585747276,G,9.29125,-1.37746,2.78255,-8.7565,3.10483,-1.76003,2.03046,-1,G,14.8452,-3.03997,-0.276861,-14.5276,3.05255,-2.26408,-3.05077,-1,3.82463
149181,1585794124,G,9.41761,1.2749,-3.26564,8.74016,3.50568,1.64468,-1.1986,1,G,8.86359,3.40641,-6.39893,5.09923,7.24914,0.655471,-1.08161,-1,5.23019
149181,1585818860,G,10.5112,-1.2022,-2.8842,-10.0354,3.12472,-1.88332,-1.96572,1,G,6.75087,0.619638,3.24481,-5.88645,3.30345,-1.34162,1.38211,1,6.63344
